"industry","term","definition","formula","required_columns","source","note"
"Retail & E-commerce","Revenue","Sales value generated after recorded discounts.","SUM(revenue)","revenue","DataSense starter template","Map the generic field to the dataset before calculating."
"Retail & E-commerce","Average Order Value","Average revenue generated by each distinct order.","SUM(revenue) / COUNT(DISTINCT order_id)","revenue; order_id","DataSense starter template","Use distinct orders rather than row count."
"Retail & E-commerce","Gross Margin Percentage","Share of revenue remaining after cost of goods sold.","(SUM(revenue) - SUM(cost_of_goods_sold)) / SUM(revenue) * 100","revenue; cost_of_goods_sold","DataSense starter template","Cost definitions must be confirmed with Finance."
"Retail & E-commerce","Return Rate","Share of distinct orders or items returned by customers.","returned_orders / total_orders * 100","order_id; returned","DataSense starter template","Choose order-level or item-level measurement consistently."
"Retail & E-commerce","Purchase Conversion Rate","Share of eligible visits or users that complete a purchase.","purchasers / eligible_visitors * 100","customer_id; purchase_flag; session_id","DataSense starter template","Confirm whether the denominator is users or sessions."
"EdTech","Lead-to-Enrolment Rate","Share of qualified leads that successfully enrol.","enrolled_leads / qualified_leads * 100","lead_id; qualification_status; enrolment_status","DataSense starter template","Define qualified-lead eligibility before calculation."
"EdTech","Course Completion Rate","Share of enrolled learners who complete the course.","completed_learners / enrolled_learners * 100","learner_id; enrolment_status; completion_status","DataSense starter template","Set a consistent completion cutoff date."
"EdTech","Learner Retention Rate","Share of learners who remain active at the end of the measurement period.","retained_learners / eligible_learners_at_start * 100","learner_id; activity_date; enrolment_date","DataSense starter template","Exclude learners who were not yet eligible for the full period."
"EdTech","Student Acquisition Cost","Average sales and marketing spend required to acquire one new student.","sales_and_marketing_spend / new_students","spend; learner_id; enrolment_date","DataSense starter template","Use incremental spend when evaluating a specific campaign."
"EdTech","Average Revenue per Learner","Average recognised revenue generated per paying learner.","SUM(recognised_revenue) / COUNT(DISTINCT paying_learner_id)","recognised_revenue; paying_learner_id","DataSense starter template","Do not mix booked and recognised revenue."
"Hospitality","Occupancy Rate","Share of available room nights that were sold.","occupied_room_nights / available_room_nights * 100","occupied_rooms; available_rooms; stay_date","DataSense starter template","Exclude out-of-order rooms only if the business definition requires it."
"Hospitality","Average Daily Rate","Average room revenue earned per occupied room night.","room_revenue / occupied_room_nights","room_revenue; occupied_rooms; stay_date","DataSense starter template","Exclude taxes and non-room revenue unless policy says otherwise."
"Hospitality","Revenue per Available Room","Room revenue generated per available room night.","room_revenue / available_room_nights","room_revenue; available_rooms; stay_date","DataSense starter template","RevPAR also equals ADR multiplied by occupancy as a decimal."
"Hospitality","Cancellation Rate","Share of eligible reservations that were cancelled.","cancelled_reservations / eligible_reservations * 100","reservation_id; reservation_status","DataSense starter template","Define whether no-shows are included."
"Hospitality","Average Length of Stay","Average number of occupied nights per completed stay.","SUM(room_nights) / COUNT(DISTINCT completed_reservation_id)","reservation_id; check_in_date; check_out_date; status","DataSense starter template","Use completed stays for a realised measure."
"Marketing","Click-through Rate","Share of ad impressions that produced a click.","clicks / impressions * 100","clicks; impressions","DataSense starter template","Use the same platform attribution window."
"Marketing","Cost per Click","Average media cost for each recorded click.","ad_spend / clicks","ad_spend; clicks","DataSense starter template","Handle campaigns with zero clicks separately."
